time,Phi,dPhi_dt,Energy,Fragmentation,Ricci,Betti1,PermEntropy
356.0,0.201,-0.004,7.389,5.95,-1.4,8.0,0.63
358.0,0.201,-0.003,7.389,8.31,-0.924,10.0,0.65
360.0,0.201,-0.003,7.389,9.38,0.081,10.0,0.64
362.0,0.201,-0.002,7.389,13.2,0.007,14.0,0.66
364.0,0.201,-0.002,7.389,6.81,-2.351,10.0,0.67
366.0,0.2,-0.002,7.389,8.55,-1.775,11.0,0.63
368.0,0.2,-0.001,7.389,11.82,-0.552,13.0,0.62
370.0,0.2,-0.001,7.389,7.55,-1.863,10.0,0.62
372.0,0.2,-0.001,7.389,9.67,-3.678,14.0,0.63
374.0,0.2,-0.001,7.389,10.56,-0.863,12.0,0.62
376.0,0.2,-0.001,7.389,13.59,0.188,14.0,0.62
378.0,0.2,-0.001,7.389,14.17,-0.222,15.0,0.62
380.0,0.2,-0.0,7.389,6.03,-3.423,10.0,0.61
382.0,0.2,-0.0,7.389,8.01,-3.442,12.0,0.61
384.0,0.2,-0.0,7.389,10.57,0.171,11.0,0.62
386.0,0.2,-0.0,7.389,8.96,-2.421,12.0,0.62
388.0,0.2,-0.0,7.389,7.07,-2.32,10.0,0.62
390.0,0.2,-0.0,7.389,8.5,-1.919,11.0,0.62
392.0,0.2,-0.0,7.389,5.88,-2.488,9.0,0.63
394.0,0.201,0.027,6.476,4.87,-4.594,10.0,0.61
396.0,0.201,-0.004,7.389,11.59,0.059,12.0,0.59
398.0,0.201,-0.004,7.389,9.49,-0.077,10.0,0.59
400.0,0.201,-0.003,7.389,14.48,0.996,14.0,0.6
402.0,0.201,0.008,7.031,5.14,-2.242,8.0,0.62
404.0,0.201,-0.004,7.389,7.46,-1.987,10.0,0.61
406.0,0.201,-0.003,7.389,13.43,-1.97,16.0,0.62
408.0,0.201,-0.003,7.389,15.47,1.094,15.0,0.62
410.0,0.201,-0.002,7.389,11.34,-2.072,14.0,0.62
412.0,0.201,-0.002,7.389,11.47,-0.989,13.0,0.61
414.0,0.2,-0.002,7.389,15.26,-0.072,16.0,0.63
416.0,0.2,-0.001,7.389,12.33,2.0,11.0,0.63
418.0,0.2,-0.001,7.389,12.29,-0.114,13.0,0.62
420.0,0.201,0.005,7.199,5.29,-3.283,9.0,0.58
422.0,0.2,-0.002,7.389,9.74,-2.817,13.0,0.59
424.0,0.2,-0.001,7.389,6.63,-2.84,10.0,0.61
426.0,0.2,-0.001,7.389,9.73,-0.587,11.0,0.64
428.0,0.2,-0.001,7.389,6.02,-2.281,9.0,0.64
430.0,0.208,0.147,3.61,2.91,-2.57,6.0,0.6
432.0,0.216,0.169,3.146,1.58,-3.976,6.0,0.59
434.0,0.215,-0.019,6.455,5.24,-1.239,7.0,0.6
436.0,0.224,0.185,2.609,2.47,-6.964,10.0,0.61
